originator_tax_id,reference_number,amount,due_on,status
12345678000195,RECV-2026-010001,15223.62,2027-04-03,pending
98765432000198,RECV-2026-010002,34281.58,2026-11-16,pending
11223344000177,RECV-2026-010003,32634.01,2027-12-17,submitted
55667788000133,RECV-2026-010004,32821.69,2026-06-20,advanced
99887766000111,RECV-2026-010005,19476.24,2026-05-29,cancelled
12345678000195,RECV-2026-010006,29199.09,2027-10-03,pending
98765432000198,RECV-2026-010007,41352.09,2026-10-30,eligible
11223344000177,RECV-2026-010008,40149.97,2026-12-20,cancelled
55667788000133,RECV-2026-010009,41884.74,2027-07-17,eligible
99887766000111,RECV-2026-010010,8637.98,2027-11-25,cancelled
12345678000195,RECV-2026-010011,24104.04,2027-05-06,pending
98765432000198,RECV-2026-010012,27278.55,2027-03-22,eligible
11223344000177,RECV-2026-010013,15573.33,2027-07-15,eligible
55667788000133,RECV-2026-010014,18842.68,2027-01-22,advanced
99887766000111,RECV-2026-010015,36980.43,2027-12-12,cancelled
12345678000195,RECV-2026-010016,6462.17,2026-07-22,advanced
98765432000198,RECV-2026-010017,2931.09,2027-12-27,pending
11223344000177,RECV-2026-010018,44766.90,2027-03-04,pending
55667788000133,RECV-2026-010019,20398.33,2027-05-05,pending
99887766000111,RECV-2026-010020,24193.49,2026-09-17,advanced
12345678000195,RECV-2026-010021,33694.96,2028-01-15,eligible
98765432000198,RECV-2026-010022,12395.65,2027-06-28,advanced
11223344000177,RECV-2026-010023,2372.18,2026-12-10,pending
55667788000133,RECV-2026-010024,46131.63,2027-02-26,unknown
99887766000111,RECV-2026-010025,2219.28,2026-10-07,advanced
12345678000195,RECV-2026-010026,27821.34,2026-11-02,cancelled
98765432000198,RECV-2026-010027,16942.61,2027-04-26,eligible
11223344000177,RECV-2026-010028,16849.35,2027-09-22,cancelled
55667788000133,RECV-2026-010029,31106.86,2027-12-04,eligible
99887766000111,RECV-2026-010030,17953.63,2027-04-14,pending
12345678000195,RECV-2026-010031,32790.14,2026-06-07,eligible
98765432000198,RECV-2026-010032,48058.31,2027-04-21,pending
11223344000177,RECV-2026-010033,32944.26,2026-06-20,cancelled
55667788000133,RECV-2026-010034,6516.45,2027-02-03,cancelled
99887766000111,RECV-2026-010035,19624.05,2027-07-05,advanced
12345678000195,RECV-2026-010036,40885.27,2026-05-20,advanced
98765432000198,RECV-2026-010037,3550.58,2027-12-19,advanced
11223344000177,RECV-2026-010038,15555.91,2027-07-27,cancelled
55667788000133,RECV-2026-010039,45447.75,2026-07-06,advanced
99887766000111,RECV-2026-010040,45788.01,2028-01-06,advanced
12345678000195,RECV-2026-010041,27839.34,2027-08-16,pending
98765432000198,RECV-2026-010042,20687.29,2026-08-25,advanced
11223344000177,RECV-2026-010043,44267.71,2028-02-05,cancelled
55667788000133,RECV-2026-010044,8814.56,2026-08-07,advanced
99887766000111,RECV-2026-010045,35086.49,2026-12-13,pending
12345678000195,RECV-2026-010046,8001.61,2026-12-30,eligible
98765432000198,RECV-2026-010047,9740.34,2027-05-04,advanced
11223344000177,RECV-2026-010048,24160.24,2026-06-03,pending
55667788000133,RECV-2026-010049,19560.25,2027-09-09,cancelled
99887766000111,RECV-2026-010050,7365.23,2027-05-12,eligible
12345678000195,RECV-2026-010051,11867.37,2027-05-13,cancelled
98765432000198,RECV-2026-010052,14207.56,2027-04-23,eligible
11223344000177,RECV-2026-010053,24714.77,2027-03-23,cancelled
55667788000133,RECV-2026-010054,32454.44,2027-02-25,advanced
99887766000111,RECV-2026-010055,31938.21,2027-07-13,eligible
12345678000195,RECV-2026-010056,17295.91,2027-02-13,cancelled
98765432000198,RECV-2026-010057,23666.64,2026-07-12,cancelled
11223344000177,RECV-2026-010058,37786.68,2027-03-23,cancelled
55667788000133,RECV-2026-010059,2738.20,2028-02-27,eligible
99887766000111,RECV-2026-010060,31847.71,2026-07-05,cancelled
12345678000195,RECV-2026-010061,5661.64,2028-02-19,advanced
98765432000198,RECV-2026-010062,33499.90,2026-09-07,pending
11223344000177,RECV-2026-010063,42768.90,2027-12-25,pending
55667788000133,RECV-2026-010064,14044.56,2028-03-03,processing
99887766000111,RECV-2026-010065,47041.13,2027-12-06,advanced
12345678000195,RECV-2026-010066,7209.83,2027-09-12,pending
98765432000198,RECV-2026-010067,14302.19,2027-12-27,pending
11223344000177,RECV-2026-010068,32170.82,2027-08-02,pending
55667788000133,RECV-2026-010069,18858.75,2027-01-10,pending
99887766000111,RECV-2026-010070,32403.38,2027-01-21,advanced
12345678000195,RECV-2026-010071,15907.26,2027-06-24,eligible
98765432000198,RECV-2026-010072,22405.00,2026-06-27,eligible
11223344000177,RECV-2026-010073,9799.93,2027-04-10,cancelled
55667788000133,RECV-2026-010074,16881.09,2028-03-19,eligible
99887766000111,RECV-2026-010075,35323.36,2026-09-27,eligible
12345678000195,RECV-2026-010076,44062.34,2027-08-13,eligible
98765432000198,RECV-2026-010077,33841.27,2026-05-20,eligible
11223344000177,RECV-2026-010078,43224.46,2027-03-19,advanced
55667788000133,RECV-2026-010079,17468.21,2028-02-10,eligible
99887766000111,RECV-2026-010080,24846.81,2028-03-21,error
12345678000195,RECV-2026-010081,10882.12,2026-11-19,advanced
98765432000198,RECV-2026-010082,477.20,2026-07-15,advanced
11223344000177,RECV-2026-010083,44660.48,2027-02-19,pending
55667788000133,RECV-2026-010084,12577.74,2027-03-03,pending
99887766000111,RECV-2026-010085,35064.24,2027-02-18,eligible
12345678000195,RECV-2026-010086,24744.56,2027-05-13,eligible
98765432000198,RECV-2026-010087,850.49,2027-12-17,cancelled
11223344000177,RECV-2026-010088,33293.21,2027-05-25,cancelled
55667788000133,RECV-2026-010089,1739.60,2027-03-08,pending
99887766000111,RECV-2026-010090,19442.62,2026-11-01,unknown
12345678000195,RECV-2026-010091,32103.29,2027-04-03,eligible
98765432000198,RECV-2026-010092,49840.55,2028-03-02,advanced
11223344000177,RECV-2026-010093,38647.31,2027-09-16,eligible
55667788000133,RECV-2026-010094,47169.21,2027-02-28,cancelled
99887766000111,RECV-2026-010095,18882.42,2027-02-02,eligible
12345678000195,RECV-2026-010096,26771.18,2027-04-27,advanced
98765432000198,RECV-2026-010097,36319.68,2027-06-26,advanced
11223344000177,RECV-2026-010098,17071.60,2026-08-16,eligible
55667788000133,RECV-2026-010099,12729.46,2027-07-15,cancelled
99887766000111,RECV-2026-010100,39065.76,2026-12-12,processing
12345678000195,RECV-2026-010101,9617.21,2027-12-18,eligible
98765432000198,RECV-2026-010102,18537.88,2027-06-02,eligible
11223344000177,RECV-2026-010103,14014.07,2028-01-31,advanced
55667788000133,RECV-2026-010104,16175.44,2027-12-23,advanced
99887766000111,RECV-2026-010105,37248.25,2026-12-19,eligible
12345678000195,RECV-2026-010106,40035.38,2027-06-21,cancelled
98765432000198,RECV-2026-010107,5452.98,2027-09-11,eligible
11223344000177,RECV-2026-010108,2467.73,2027-06-03,eligible
55667788000133,RECV-2026-010109,5080.41,2026-12-30,cancelled
99887766000111,RECV-2026-010110,23417.03,2026-09-26,advanced
12345678000195,RECV-2026-010111,10109.27,2026-05-06,cancelled
98765432000198,RECV-2026-010112,9855.87,2027-03-28,advanced
11223344000177,RECV-2026-010113,18676.96,2027-10-28,pending
55667788000133,RECV-2026-010114,25892.53,2026-12-22,advanced
99887766000111,RECV-2026-010115,35061.61,2026-08-01,unknown
12345678000195,RECV-2026-010116,26062.12,2028-03-10,advanced
98765432000198,RECV-2026-010117,18486.05,2026-07-28,submitted
11223344000177,RECV-2026-010118,1274.22,2027-10-22,eligible
55667788000133,RECV-2026-010119,49452.88,2027-08-04,eligible
99887766000111,RECV-2026-010120,45397.98,2026-10-07,pending
12345678000195,RECV-2026-010121,35952.52,2027-02-23,cancelled
98765432000198,RECV-2026-010122,33579.52,2026-09-14,processing
11223344000177,RECV-2026-010123,3170.63,2027-09-06,cancelled
55667788000133,RECV-2026-010124,5707.44,2026-07-15,pending
99887766000111,RECV-2026-010125,49365.68,2026-07-26,cancelled
12345678000195,RECV-2026-010126,40375.44,2026-08-01,pending
98765432000198,RECV-2026-010127,43728.95,2026-10-31,advanced
11223344000177,RECV-2026-010128,8517.61,2027-05-04,advanced
55667788000133,RECV-2026-010129,27128.65,2027-11-02,pending
99887766000111,RECV-2026-010130,34563.29,2026-07-05,eligible
12345678000195,RECV-2026-010131,38982.60,2027-03-18,eligible
98765432000198,RECV-2026-010132,2171.29,2027-04-02,cancelled
11223344000177,RECV-2026-010133,7730.47,2027-08-24,cancelled
55667788000133,RECV-2026-010134,40085.15,2026-07-27,processing
99887766000111,RECV-2026-010135,34056.33,2027-01-15,eligible
12345678000195,RECV-2026-010136,14576.81,2026-07-21,cancelled
