originator_tax_id,reference_number,amount,due_on,status
12345678000195,RECV-2030-050001,7235.74,2026-08-25,advanced
98765432000198,RECV-2030-050002,34759.30,2026-12-31,pending
11223344000177,RECV-2030-050003,21225.75,2026-10-28,advanced
55667788000133,RECV-2030-050004,23839.00,2026-07-03,eligible
00000000000000,RECV-2030-050005,24474.32,2028-01-03,eligible
12345678000195,RECV-2030-050006,49137.00,2027-11-16,eligible
98765432000198,RECV-2030-050007,37571.10,2026-05-21,pending
11223344000177,RECV-2030-050008,1905.53,2026-06-17,cancelled
00000000000000,RECV-2030-050009,44390.80,2027-08-06,eligible
99887766000111,RECV-2030-050010,31689.39,2027-01-27,advanced
12345678000195,RECV-2030-050011,49282.09,2027-02-19,cancelled
98765432000198,RECV-2030-050012,44073.60,2026-07-29,cancelled
11223344000177,RECV-2030-050013,41019.36,2027-01-11,pending
55667788000133,RECV-2030-050014,30364.82,2026-11-28,pending
99887766000111,RECV-2030-050015,19411.56,2027-11-08,pending
12345678000195,RECV-2030-050016,27451.84,2027-04-05,cancelled
00000000000000,RECV-2030-050017,38063.00,2026-06-11,advanced
11223344000177,RECV-2030-050018,45570.48,2027-09-30,eligible
55667788000133,RECV-2030-050019,29924.32,2028-03-18,eligible
99887766000111,RECV-2030-050020,45061.32,2027-05-15,advanced
12345678000195,RECV-2030-050021,26933.78,2028-01-12,cancelled
,,,,
11223344000177,RECV-2030-050023,48299.46,2026-11-04,advanced
55667788000133,RECV-2030-050024,44654.45,2027-06-29,pending
99887766000111,RECV-2030-050025,10004.52,2027-03-23,advanced
12345678000195,RECV-2030-050026,26401.05,2027-01-03,pending
98765432000198,RECV-2030-050027,24588.21,2028-02-24,cancelled
11223344000177,RECV-2030-050028,35100.22,2026-12-16,pending
55667788000133,RECV-2030-050029,33445.71,2027-09-18,advanced
99887766000111,RECV-2030-050030,14382.08,2027-06-15,cancelled
12345678000195,RECV-2030-050031,2642.66,2028-02-03,advanced
98765432000198,RECV-2030-050032,21524.18,2026-12-30,eligible
11223344000177,RECV-2030-050033,23186.62,2026-07-27,cancelled
55667788000133,RECV-2030-050034,3673.81,2027-10-24,eligible
99887766000111,RECV-2030-050035,7407.01,2027-10-16,eligible
12345678000195,RECV-2030-050036,18407.50,2028-02-21,eligible
98765432000198,RECV-2030-050037,1931.70,2026-08-08,pending
11223344000177,RECV-2030-050038,8744.51,2027-06-02,eligible
